SampleID for each row in the figure:
Row	1-layer-clusterID	SampleID
760	14	11861_1_83
761	14	11861_1_86
762	14	11861_5_84
763	14	11893_1_1
764	14	11893_1_72
765	14	11893_1_75
766	14	11893_1_77
767	14	12673_6_60
768	14	11860_4_52
769	14	11860_5_67
770	14	11860_5_69
771	14	11860_6_52
772	14	11860_7_56
773	14	11860_8_85
774	14	11861_1_26
775	14	11861_1_6
776	14	11861_2_17
777	14	11861_2_64
778	14	11861_3_3
779	14	11861_3_52
780	14	14412_3_69
781	15	11860_5_41
782	15	11860_6_92
783	15	11860_7_76
784	15	11860_7_93
785	15	11861_1_48
786	15	11860_4_83
787	15	11860_6_41
788	15	11861_1_2
789	15	11861_4_56
790	15	12754_4_64
791	15	14355_8_49
792	15	14412_3_41
793	15	11860_4_81
794	15	11860_7_59
795	15	11861_2_25
796	15	12673_6_22
797	16	11860_4_87
798	16	11860_5_34
799	16	11860_5_55
800	16	11860_7_77
801	16	11860_7_79
802	16	11860_8_73
803	16	11861_1_79
804	16	11861_2_30
805	16	11861_2_33
806	16	11861_3_11
807	16	11861_3_16
808	16	11861_3_59
809	16	11861_3_74
810	16	11861_3_81
811	16	11861_5_12
812	16	11861_5_46
813	16	11861_5_60
814	16	11893_1_59
815	16	11893_1_71
816	16	12216_4_89
817	16	12273_1_90
818	16	12673_6_23
819	16	12673_6_42
820	16	11860_5_42
821	16	11860_5_48
822	16	11860_7_4
823	16	11860_7_72
824	16	11860_8_35
825	16	11860_8_36
826	16	11861_1_34
827	16	11861_2_41
828	16	11861_3_85
829	16	11861_4_3
830	16	11861_4_51
831	16	11861_4_55
832	16	11861_5_36
833	16	14355_8_35
834	16	14355_8_51
835	16	14355_8_74
836	16	14412_3_24
837	16	14412_3_64
838	16	11861_1_89
839	16	11861_5_11
840	17	11860_5_61
841	17	11860_5_62
842	17	11860_6_53
843	17	11860_8_74
844	17	11861_4_87
845	17	14355_8_54
846	17	11860_4_66
847	17	11860_8_18
848	17	11861_2_29
849	17	11861_2_38
850	17	11861_5_47
851	17	11861_5_53
852	17	11860_4_18
853	17	11860_4_30
854	17	11860_4_51
855	17	11860_4_59
856	17	11860_5_90
857	17	11860_6_47
858	17	11860_6_9
859	17	11860_7_55
860	17	11860_7_80
861	17	11860_8_68
862	17	11860_8_90
863	17	11861_1_36
864	17	11861_2_76
865	17	11861_3_63
866	17	11861_4_84
867	17	11861_5_68
868	17	11861_5_70
869	17	11893_1_61
870	17	14412_3_36
871	17	11860_8_23
872	17	11861_4_94
873	17	11861_5_40
874	17	14412_3_53
875	18	11822_8_32
876	18	11860_4_45
877	18	11860_6_10
878	18	11860_7_33
879	18	11860_8_63
880	18	11861_3_1
881	18	11861_5_14
882	18	11861_5_33
883	18	11893_1_46
884	18	12673_6_11
885	18	11893_1_16
886	18	11861_2_81
887	19	11860_5_59
888	19	11860_6_55
889	19	11861_1_25
890	19	11861_1_84
891	19	11861_2_68
892	19	11860_5_92
893	19	11860_7_73
894	19	11861_3_61
895	19	11861_4_59
896	19	11861_4_93
897	19	12673_6_18
898	19	12673_6_19
899	19	12673_6_38
900	19	11860_4_76
901	20	11860_4_16
902	20	11860_4_28
903	20	11860_4_60
904	20	11860_4_73
905	20	11860_4_74
906	20	11860_4_77
907	20	11860_4_82
908	20	11860_4_88
909	20	11860_4_93
910	20	11860_5_1
911	20	11860_5_16
912	20	11860_5_22
913	20	11860_5_37
914	20	11860_5_5
915	20	11860_5_57
916	20	11860_5_77
917	20	11860_5_82
918	20	11860_5_83
919	20	11860_5_93
920	20	11860_6_2
921	20	11860_6_26
922	20	11860_6_32
923	20	11860_6_37
924	20	11860_6_39
925	20	11860_6_54
926	20	11860_6_57
927	20	11860_6_60
928	20	11860_6_63
929	20	11860_6_67
930	20	11860_6_68
931	20	11860_6_72
932	20	11860_6_84
933	20	11860_6_87
934	20	11860_6_89
935	20	11860_6_96
936	20	11860_7_68
937	20	11860_7_69
938	20	11860_8_10
939	20	11860_8_16
940	20	11860_8_2
941	20	11860_8_21
942	20	11860_8_28
943	20	11860_8_4
944	20	11860_8_65
945	20	11860_8_72
946	20	11860_8_80
947	20	11860_8_89
948	20	11860_8_9
949	20	11860_8_93
950	20	11861_1_4
951	20	11861_1_55
952	20	11861_1_62
953	20	11861_1_63
954	20	11861_1_71
955	20	11861_1_87
956	20	11861_2_11
957	20	11861_2_2
958	20	11861_2_42
959	20	11861_2_45
960	20	11861_2_46
961	20	11861_2_48
962	20	11861_2_51
963	20	11861_2_60
964	20	11861_2_61
965	20	11861_2_63
966	20	11861_2_66
967	20	11861_2_79
968	20	11861_3_22
969	20	11861_3_30
970	20	11861_3_37
971	20	11861_3_38
972	20	11861_3_4
973	20	11861_3_42
974	20	11861_3_44
975	20	11861_3_45
976	20	11861_3_53
977	20	11861_3_58
978	20	11861_3_86
979	20	11861_4_15
980	20	11861_4_2
981	20	11861_4_20
982	20	11861_4_22
983	20	11861_4_30
984	20	11861_4_37
985	20	11861_4_45
986	20	11861_4_47
987	20	11861_4_6
988	20	11861_4_60
989	20	11861_4_88
990	20	11861_4_9
991	20	11861_4_91
992	20	11861_4_95
993	20	11861_5_23
994	20	11861_5_26
995	20	11861_5_45
996	20	11861_5_6
997	20	11861_5_64
998	20	11861_5_76
999	20	11861_5_81
1000	20	11893_1_14
1001	20	11893_1_28
1002	20	11893_1_3
1003	20	11893_1_60
1004	20	11893_1_66
1005	20	12216_4_88
1006	20	12216_4_94
1007	20	12273_1_88
1008	20	12273_1_89
1009	20	12673_6_12
1010	20	12673_6_14
1011	20	12673_6_17
1012	20	12673_6_28
1013	20	12673_6_33
1014	20	12673_6_37
1015	20	14355_8_86
1016	20	14412_3_39
1017	20	14355_8_37
1018	20	14355_8_56
1019	20	14355_8_88
1020	20	14412_3_6
1021	20	11822_8_50
1022	20	11860_6_79
1023	20	11861_1_81
1024	20	11861_3_14
1025	20	11861_3_87
1026	20	11861_5_66
1027	20	11861_5_91
1028	21	11860_4_64
1029	21	11860_5_32
1030	21	11860_6_62
1031	21	11860_7_22
1032	21	11861_2_40
1033	21	11861_2_52
1034	21	11861_3_32
1035	21	11861_4_11
1036	21	11861_4_17
1037	21	11861_4_21
1038	21	11893_1_27
1039	21	11893_1_80
1040	21	11893_1_87
1041	21	12673_6_21
1042	21	14412_3_59
1043	21	11860_4_37
1044	21	11860_4_4
1045	21	11860_5_52
1046	21	11860_5_53
1047	21	11860_5_73
1048	21	11860_6_12
1049	21	11860_6_75
1050	21	11860_7_87
1051	21	11860_8_95
1052	21	11861_1_95
1053	21	11861_2_12
1054	21	11861_2_32
1055	21	11861_2_34
1056	21	11861_2_47
1057	21	11861_2_58
1058	21	11861_2_85
1059	21	11861_3_28
1060	21	11861_3_5
1061	21	11861_4_41
1062	21	11861_5_25
1063	21	11893_1_19
1064	21	12673_6_44
1065	21	12673_6_47
1066	21	11860_4_5
1067	21	11860_5_33
1068	21	11860_6_29
1069	21	11860_6_56
1070	21	11860_6_58
1071	21	11860_8_61
1072	21	11860_8_82
1073	21	11860_8_96
1074	21	11861_1_13
1075	21	11861_1_32
1076	21	11861_4_36
1077	21	11861_5_32
1078	21	11861_5_72
1079	21	11861_5_89
1080	21	11893_1_11
1081	21	11860_4_42
1082	21	11860_4_75
1083	21	11860_5_26
1084	21	11860_5_63
1085	21	11860_5_76
1086	21	11860_6_49
1087	21	11860_7_1
1088	21	11860_7_32
1089	21	11860_7_85
1090	21	11861_1_58
1091	21	11822_8_35
1092	21	11860_4_40
1093	21	11860_5_4
1094	21	11860_5_95
1095	21	11861_1_24
1096	21	11861_5_16
1097	21	11861_5_87
1098	22	11822_8_37
1099	22	11860_5_28
1100	22	11860_5_45
1101	22	11860_5_50
1102	22	11860_6_18
1103	22	11860_6_27
1104	22	11860_7_29
1105	22	11860_7_3
1106	22	11860_7_48
1107	22	11860_7_52
1108	22	11860_7_65
1109	22	11860_8_17
1110	22	11860_8_24
1111	22	11860_8_56
1112	22	11860_8_59
1113	22	11860_8_64
1114	22	11860_8_71
1115	22	11860_8_75
1116	22	11860_8_88
1117	22	11861_1_53
1118	22	11861_4_49
1119	22	11861_4_71
1120	22	11861_4_85
1121	22	11861_5_20
1122	22	11861_5_21
1123	22	11861_5_29
1124	22	11893_1_40
1125	22	11893_1_82
1126	22	11822_8_30
1127	22	11860_5_24
